Comment,Target²,Topic²,Attack-Defend²,Violence²,Hate speech²
Felicidades argentina!! Ya le dieron por culo al Kirchnerismo!! Viva la libertad carajo!!,Group,Ideology,Attacking,Yes,Yes
"Ganó Faker, ganó Milei, ganó el fulbo",Individual,Ideology,Defending,No,No
Grandeee peluca!!,Individual,Ideology,Defending,No,No
"Hace cuanto no había un presidente que diga las cosas claras y con resultados a la vista. Si hoy Massa fuera el presidente, estaría anunciando el éxitoso plan de estabilidad social de planes sociales y sueldo universal de 5 dólares para cada Argentino y Argentina, y así poder resistir a la inflación mensual del 300%.",Individual,"Policy, Ideology",Attacking,No,No
"Hace ya casi un año que no vivo en argentina y el otro día viendo informes de como hacen la operación mediática a Milei, de como está de mal el país, incluso visto desde el punto de vista de un noticiero extranjero, pensé ""y que se jodan, ojalá gane Massa así se les sube el aca hasta el cuello a ver si ahí despiertan"".",Group,"Policy, Ideology, Origin",Attacking,Yes,Yes
"hdps entiendo q se quejen si realmente hubiera suba de precios y eso, pero desde hace meses los precios sobre todo en mercaderia estan casi congelados, no me jodan los fanaticos kukas con q esta todo como el orto, al menos hay una estabilidad",Group,"Ideology, Policy",Attacking,Yes,Yes
"Hermano, yo soy pro mercado, republicano, creo en la idoneidad, cero déficit, baja de inflación, pero este tipo de lasa de monigote. Va ahí a lamerle el escroto al tipo que le puso X AE a uno de sus hijos. Dignidad la concha de la lora, representas al país, no podes andar haciendo estas giladas y haciendo millanario a un gordo con anteojos yankee con una crypto de mierda. Este y el criptido de la hermana se cagan en la dignidad de la república.",Individual,"Policy, Ideology, Sexuality",Attacking,Yes,Yes
"Indefendible que esté usando datos de un bot de twitter, contrastados con NADA, para justificar la inflación. La Argentina está condenada. De todas maneras, no quita que fue la mejor opción en 2023, como Macri lo fue en 2019.",Individual,"Policy, Ideology",Neither,No,No
"JAJAJAJA ya lo veia venir que iba a pasar eso, no puede ser que Milei sea tan pelotudo como para informarse en twitter. Igual traeme la urna que lo voto mil veces.",Individual,Ideology,Neither,Yes,No
JAJAJAJAJAJA CUANTOS MWORD HABLANDO DE POLÍTICA CON EL AVAL DE ARTICULOS DE WIKIPEDIA JAJAJAJAJAJAJAJA VAYAN A ESTUDIAR BOBOS,Group,Ideology,Attacking,Yes,No
